index,Scope,Level 1,Activity,Emission,Last level,UOM,GHG/Unit,GHG Conversion Factor
1310,Scope 1,Refrigerant & other,Kyoto protocol products,Carbon dioxide,Emissions including only Kyoto products,kg,kg CO2e,1.0
1311,Scope 1,Refrigerant & other,Kyoto protocol products,Methane,Emissions including only Kyoto products,kg,kg CO2e,28.0
1312,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrous oxide,Emissions including only Kyoto products,kg,kg CO2e,265.0
1313,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-23,Emissions including only Kyoto products,kg,kg CO2e,12400.0
1314,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-32,Emissions including only Kyoto products,kg,kg CO2e,677.0
1315,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-41,Emissions including only Kyoto products,kg,kg CO2e,116.0
1316,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-125,Emissions including only Kyoto products,kg,kg CO2e,3170.0
1317,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134,Emissions including only Kyoto products,kg,kg CO2e,1120.0
1318,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134a,Emissions including only Kyoto products,kg,kg CO2e,1300.0
1319,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143,Emissions including only Kyoto products,kg,kg CO2e,328.0
13110,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143a,Emissions including only Kyoto products,kg,kg CO2e,4800.0
13111,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152a,Emissions including only Kyoto products,kg,kg CO2e,138.0
13112,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-227ea,Emissions including only Kyoto products,kg,kg CO2e,3350.0
13113,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236fa,Emissions including only Kyoto products,kg,kg CO2e,8060.0
13114,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245fa,Emissions including only Kyoto products,kg,kg CO2e,858.0
13115,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,Emissions including only Kyoto products,kg,kg CO2e,1650.0
13116,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),Emissions including only Kyoto products,kg,kg CO2e,6630.0
13117,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),Emissions including only Kyoto products,kg,kg CO2e,11100.0
13118,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),Emissions including only Kyoto products,kg,kg CO2e,8900.0
13119,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),Emissions including only Kyoto products,kg,kg CO2e,9540.0
13120,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),Emissions including only Kyoto products,kg,kg CO2e,9200.0
13121,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),Emissions including only Kyoto products,kg,kg CO2e,8550.0
13122,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),Emissions including only Kyoto products,kg,kg CO2e,7910.0
13123,Scope 1,Refrigerant & other,Kyoto protocol products,PFC-9-1-18,Emissions including only Kyoto products,kg,kg CO2e,7190.0
13124,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,Emissions including only Kyoto products,kg,kg CO2e,9200.0
13125,Scope 1,Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),Emissions including only Kyoto products,kg,kg CO2e,23500.0
13126,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152,Emissions including only Kyoto products,kg,kg CO2e,16.0
13127,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-161,Emissions including only Kyoto products,kg,kg CO2e,4.0
13128,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236cb,Emissions including only Kyoto products,kg,kg CO2e,1210.0
13129,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236ea,Emissions including only Kyoto products,kg,kg CO2e,1330.0
13130,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245ca,Emissions including only Kyoto products,kg,kg CO2e,716.0
13131,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-365mfc,Emissions including only Kyoto products,kg,kg CO2e,804.0
13132,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrogen trifluoride,Emissions including only Kyoto products,kg,kg CO2e,16100.0
1310,Scope 1,Refrigerant & other,Kyoto protocol products,Carbon dioxide,Emissions including only non-Kyoto products,kg,kg CO2e,
1311,Scope 1,Refrigerant & other,Kyoto protocol products,Methane,Emissions including only non-Kyoto products,kg,kg CO2e,
1312,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrous oxide,Emissions including only non-Kyoto products,kg,kg CO2e,
1313,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-23,Emissions including only non-Kyoto products,kg,kg CO2e,
1314,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-32,Emissions including only non-Kyoto products,kg,kg CO2e,
1315,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-41,Emissions including only non-Kyoto products,kg,kg CO2e,
1316,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-125,Emissions including only non-Kyoto products,kg,kg CO2e,
1317,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134,Emissions including only non-Kyoto products,kg,kg CO2e,
1318,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134a,Emissions including only non-Kyoto products,kg,kg CO2e,
1319,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143,Emissions including only non-Kyoto products,kg,kg CO2e,
13110,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143a,Emissions including only non-Kyoto products,kg,kg CO2e,
13111,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152a,Emissions including only non-Kyoto products,kg,kg CO2e,
13112,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-227ea,Emissions including only non-Kyoto products,kg,kg CO2e,
13113,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236fa,Emissions including only non-Kyoto products,kg,kg CO2e,
13114,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245fa,Emissions including only non-Kyoto products,kg,kg CO2e,
13115,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,Emissions including only non-Kyoto products,kg,kg CO2e,
13116,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),Emissions including only non-Kyoto products,kg,kg CO2e,
13117,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),Emissions including only non-Kyoto products,kg,kg CO2e,
13118,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),Emissions including only non-Kyoto products,kg,kg CO2e,
13119,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),Emissions including only non-Kyoto products,kg,kg CO2e,
13120,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),Emissions including only non-Kyoto products,kg,kg CO2e,
13121,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),Emissions including only non-Kyoto products,kg,kg CO2e,
13122,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),Emissions including only non-Kyoto products,kg,kg CO2e,
13123,Scope 1,Refrigerant & other,Kyoto protocol products,PFC-9-1-18,Emissions including only non-Kyoto products,kg,kg CO2e,
13124,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,Emissions including only non-Kyoto products,kg,kg CO2e,
13125,Scope 1,Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),Emissions including only non-Kyoto products,kg,kg CO2e,
13126,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152,Emissions including only non-Kyoto products,kg,kg CO2e,
13127,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-161,Emissions including only non-Kyoto products,kg,kg CO2e,
13128,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236cb,Emissions including only non-Kyoto products,kg,kg CO2e,
13129,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236ea,Emissions including only non-Kyoto products,kg,kg CO2e,
13130,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245ca,Emissions including only non-Kyoto products,kg,kg CO2e,
13131,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-365mfc,Emissions including only non-Kyoto products,kg,kg CO2e,
13132,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrogen trifluoride,Emissions including only non-Kyoto products,kg,kg CO2e,
1310,Scope 1,Refrigerant & other,Kyoto protocol products,Carbon dioxide,Total emissions including non-Kyoto products,kg,kg CO2e,1.0
1311,Scope 1,Refrigerant & other,Kyoto protocol products,Methane,Total emissions including non-Kyoto products,kg,kg CO2e,28.0
1312,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrous oxide,Total emissions including non-Kyoto products,kg,kg CO2e,265.0
1313,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-23,Total emissions including non-Kyoto products,kg,kg CO2e,12400.0
1314,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-32,Total emissions including non-Kyoto products,kg,kg CO2e,677.0
1315,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-41,Total emissions including non-Kyoto products,kg,kg CO2e,116.0
1316,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-125,Total emissions including non-Kyoto products,kg,kg CO2e,3170.0
1317,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134,Total emissions including non-Kyoto products,kg,kg CO2e,1120.0
1318,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134a,Total emissions including non-Kyoto products,kg,kg CO2e,1300.0
1319,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143,Total emissions including non-Kyoto products,kg,kg CO2e,328.0
13110,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143a,Total emissions including non-Kyoto products,kg,kg CO2e,4800.0
13111,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152a,Total emissions including non-Kyoto products,kg,kg CO2e,138.0
13112,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-227ea,Total emissions including non-Kyoto products,kg,kg CO2e,3350.0
13113,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236fa,Total emissions including non-Kyoto products,kg,kg CO2e,8060.0
13114,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245fa,Total emissions including non-Kyoto products,kg,kg CO2e,858.0
13115,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,Total emissions including non-Kyoto products,kg,kg CO2e,1650.0
13116,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),Total emissions including non-Kyoto products,kg,kg CO2e,6630.0
13117,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),Total emissions including non-Kyoto products,kg,kg CO2e,11100.0
13118,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),Total emissions including non-Kyoto products,kg,kg CO2e,8900.0
13119,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),Total emissions including non-Kyoto products,kg,kg CO2e,9540.0
13120,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),Total emissions including non-Kyoto products,kg,kg CO2e,9200.0
13121,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),Total emissions including non-Kyoto products,kg,kg CO2e,8550.0
13122,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),Total emissions including non-Kyoto products,kg,kg CO2e,7910.0
13123,Scope 1,Refrigerant & other,Kyoto protocol products,PFC-9-1-18,Total emissions including non-Kyoto products,kg,kg CO2e,7190.0
13124,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,Total emissions including non-Kyoto products,kg,kg CO2e,9200.0
13125,Scope 1,Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),Total emissions including non-Kyoto products,kg,kg CO2e,23500.0
13126,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152,Total emissions including non-Kyoto products,kg,kg CO2e,16.0
13127,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-161,Total emissions including non-Kyoto products,kg,kg CO2e,4.0
13128,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236cb,Total emissions including non-Kyoto products,kg,kg CO2e,1210.0
13129,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236ea,Total emissions including non-Kyoto products,kg,kg CO2e,1330.0
13130,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245ca,Total emissions including non-Kyoto products,kg,kg CO2e,716.0
13131,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-365mfc,Total emissions including non-Kyoto products,kg,kg CO2e,804.0
13132,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrogen trifluoride,Total emissions including non-Kyoto products,kg,kg CO2e,16100.0
1320,Scope 1,Refrigerant & other,Blends,R401A,Emissions including only Kyoto products,kg,kg CO2e,18.0
1321,Scope 1,Refrigerant & other,Blends,R401B,Emissions including only Kyoto products,kg,kg CO2e,15.0
1322,Scope 1,Refrigerant & other,Blends,R401C,Emissions including only Kyoto products,kg,kg CO2e,21.0
1323,Scope 1,Refrigerant & other,Blends,R402A,Emissions including only Kyoto products,kg,kg CO2e,1902.0
1324,Scope 1,Refrigerant & other,Blends,R402B,Emissions including only Kyoto products,kg,kg CO2e,1205.0
1325,Scope 1,Refrigerant & other,Blends,R403A,Emissions including only Kyoto products,kg,kg CO2e,1780.0
1326,Scope 1,Refrigerant & other,Blends,R403B,Emissions including only Kyoto products,kg,kg CO2e,3471.0
1327,Scope 1,Refrigerant & other,Blends,R404A,Emissions including only Kyoto products,kg,kg CO2e,3943.0
1328,Scope 1,Refrigerant & other,Blends,R405A,Emissions including only Kyoto products,kg,kg CO2e,3920.0
1329,Scope 1,Refrigerant & other,Blends,R406A,Emissions including only Kyoto products,kg,kg CO2e,
13210,Scope 1,Refrigerant & other,Blends,R407A,Emissions including only Kyoto products,kg,kg CO2e,1923.0
13211,Scope 1,Refrigerant & other,Blends,R407B,Emissions including only Kyoto products,kg,kg CO2e,2547.0
13212,Scope 1,Refrigerant & other,Blends,R407C,Emissions including only Kyoto products,kg,kg CO2e,1624.0
13213,Scope 1,Refrigerant & other,Blends,R407D,Emissions including only Kyoto products,kg,kg CO2e,1487.0
13214,Scope 1,Refrigerant & other,Blends,R407E,Emissions including only Kyoto products,kg,kg CO2e,1425.0
13215,Scope 1,Refrigerant & other,Blends,R407F,Emissions including only Kyoto products,kg,kg CO2e,1674.0
13216,Scope 1,Refrigerant & other,Blends,R408A,Emissions including only Kyoto products,kg,kg CO2e,2430.0
13217,Scope 1,Refrigerant & other,Blends,R409A,Emissions including only Kyoto products,kg,kg CO2e,
13218,Scope 1,Refrigerant & other,Blends,R409B,Emissions including only Kyoto products,kg,kg CO2e,
13219,Scope 1,Refrigerant & other,Blends,R410A,Emissions including only Kyoto products,kg,kg CO2e,1924.0
13220,Scope 1,Refrigerant & other,Blends,R410B,Emissions including only Kyoto products,kg,kg CO2e,2048.0
13221,Scope 1,Refrigerant & other,Blends,R411A,Emissions including only Kyoto products,kg,kg CO2e,15.0
13222,Scope 1,Refrigerant & other,Blends,R411B,Emissions including only Kyoto products,kg,kg CO2e,4.0
13223,Scope 1,Refrigerant & other,Blends,R412A,Emissions including only Kyoto products,kg,kg CO2e,445.0
13224,Scope 1,Refrigerant & other,Blends,R413A,Emissions including only Kyoto products,kg,kg CO2e,1945.0
13225,Scope 1,Refrigerant & other,Blends,R414A,Emissions including only Kyoto products,kg,kg CO2e,
13226,Scope 1,Refrigerant & other,Blends,R414B,Emissions including only Kyoto products,kg,kg CO2e,
13227,Scope 1,Refrigerant & other,Blends,R415A,Emissions including only Kyoto products,kg,kg CO2e,25.0
13228,Scope 1,Refrigerant & other,Blends,R415B,Emissions including only Kyoto products,kg,kg CO2e,104.0
13229,Scope 1,Refrigerant & other,Blends,R416A,Emissions including only Kyoto products,kg,kg CO2e,767.0
13230,Scope 1,Refrigerant & other,Blends,R417A,Emissions including only Kyoto products,kg,kg CO2e,2127.0
13231,Scope 1,Refrigerant & other,Blends,R417B,Emissions including only Kyoto products,kg,kg CO2e,2742.0
13232,Scope 1,Refrigerant & other,Blends,R417C,Emissions including only Kyoto products,kg,kg CO2e,1643.0
13233,Scope 1,Refrigerant & other,Blends,R418A,Emissions including only Kyoto products,kg,kg CO2e,3.0
13234,Scope 1,Refrigerant & other,Blends,R419A,Emissions including only Kyoto products,kg,kg CO2e,2688.0
13235,Scope 1,Refrigerant & other,Blends,R419B,Emissions including only Kyoto products,kg,kg CO2e,2161.0
13236,Scope 1,Refrigerant & other,Blends,R420A,Emissions including only Kyoto products,kg,kg CO2e,1144.0
13237,Scope 1,Refrigerant & other,Blends,R421A,Emissions including only Kyoto products,kg,kg CO2e,2385.0
13238,Scope 1,Refrigerant & other,Blends,R421B,Emissions including only Kyoto products,kg,kg CO2e,2890.0
13239,Scope 1,Refrigerant & other,Blends,R422A,Emissions including only Kyoto products,kg,kg CO2e,2847.0
13240,Scope 1,Refrigerant & other,Blends,R422B,Emissions including only Kyoto products,kg,kg CO2e,2290.0
13241,Scope 1,Refrigerant & other,Blends,R422C,Emissions including only Kyoto products,kg,kg CO2e,2794.0
13242,Scope 1,Refrigerant & other,Blends,R422D,Emissions including only Kyoto products,kg,kg CO2e,2473.0
13243,Scope 1,Refrigerant & other,Blends,R422E,Emissions including only Kyoto products,kg,kg CO2e,2350.0
13244,Scope 1,Refrigerant & other,Blends,R423A,Emissions including only Kyoto products,kg,kg CO2e,2274.0
13245,Scope 1,Refrigerant & other,Blends,R424A,Emissions including only Kyoto products,kg,kg CO2e,2212.0
13246,Scope 1,Refrigerant & other,Blends,R425A,Emissions including only Kyoto products,kg,kg CO2e,1431.0
13247,Scope 1,Refrigerant & other,Blends,R426A,Emissions including only Kyoto products,kg,kg CO2e,1371.0
13248,Scope 1,Refrigerant & other,Blends,R427A,Emissions including only Kyoto products,kg,kg CO2e,2024.0
13249,Scope 1,Refrigerant & other,Blends,R428A,Emissions including only Kyoto products,kg,kg CO2e,3417.0
13250,Scope 1,Refrigerant & other,Blends,R429A,Emissions including only Kyoto products,kg,kg CO2e,13.8
13251,Scope 1,Refrigerant & other,Blends,R430A,Emissions including only Kyoto products,kg,kg CO2e,105.0
13252,Scope 1,Refrigerant & other,Blends,R431A,Emissions including only Kyoto products,kg,kg CO2e,40.0
13253,Scope 1,Refrigerant & other,Blends,R432A,Emissions including only Kyoto products,kg,kg CO2e,
13254,Scope 1,Refrigerant & other,Blends,R433A,Emissions including only Kyoto products,kg,kg CO2e,
13255,Scope 1,Refrigerant & other,Blends,R433B,Emissions including only Kyoto products,kg,kg CO2e,
13256,Scope 1,Refrigerant & other,Blends,R433C,Emissions including only Kyoto products,kg,kg CO2e,
13257,Scope 1,Refrigerant & other,Blends,R434A,Emissions including only Kyoto products,kg,kg CO2e,3075.0
13258,Scope 1,Refrigerant & other,Blends,R435A,Emissions including only Kyoto products,kg,kg CO2e,27.6
13259,Scope 1,Refrigerant & other,Blends,R436A,Emissions including only Kyoto products,kg,kg CO2e,
13260,Scope 1,Refrigerant & other,Blends,R436B,Emissions including only Kyoto products,kg,kg CO2e,
13261,Scope 1,Refrigerant & other,Blends,R437A,Emissions including only Kyoto products,kg,kg CO2e,1639.0
13262,Scope 1,Refrigerant & other,Blends,R438A,Emissions including only Kyoto products,kg,kg CO2e,2059.0
13263,Scope 1,Refrigerant & other,Blends,R439A,Emissions including only Kyoto products,kg,kg CO2e,1828.0
