index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
318220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,Average laden,miles,kg CO2e,0.35241,
318221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,Average laden,tonne.km,kg CO2e,0.02359,
318222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,Average laden,km,kg CO2e,0.21154,
318223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,Average laden,miles,kg CO2e,0.34045,
31830,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,tonne.km,kg CO2e,,
31831,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,kg CO2e,0.13155,
31832,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,kg CO2e,0.2117,
31833,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,tonne.km,kg CO2e,,
31834,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,kg CO2e,0.15756,
31835,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,kg CO2e,0.25357,
31836,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),0% Laden,tonne.km,kg CO2e,,
31837,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),0% Laden,km,kg CO2e,0.21678,
31838,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),0% Laden,miles,kg CO2e,0.34888,
31839,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,0% Laden,tonne.km,kg CO2e,,
318310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,0% Laden,km,kg CO2e,0.1914,
318311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,0% Laden,miles,kg CO2e,0.30803,
318312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),0% Laden,tonne.km,kg CO2e,,
318313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),0% Laden,km,kg CO2e,0.17199,
318314,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),0% Laden,miles,kg CO2e,0.27679,
318315,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),0% Laden,tonne.km,kg CO2e,,
318316,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),0% Laden,km,kg CO2e,0.17602,
318317,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),0% Laden,miles,kg CO2e,0.28327,
318318,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,0% Laden,tonne.km,kg CO2e,,
318319,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,0% Laden,km,kg CO2e,0.17583,
318320,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,0% Laden,miles,kg CO2e,0.28297,
318321,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,0% Laden,tonne.km,kg CO2e,,
318322,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,0% Laden,km,kg CO2e,0.1822,
318323,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,0% Laden,miles,kg CO2e,0.29322,
31830,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,tonne.km,kg CO2e,0.12758,
31831,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,km,kg CO2e,0.14299,
31832,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,miles,kg CO2e,0.23011,
31833,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,tonne.km,kg CO2e,0.07603,
31834,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,km,kg CO2e,0.18007,
31835,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,miles,kg CO2e,0.2898,
31836,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),50% Laden,tonne.km,kg CO2e,0.0582,
31837,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),50% Laden,km,kg CO2e,0.26437,
31838,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),50% Laden,miles,kg CO2e,0.42546,
31839,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,50% Laden,tonne.km,kg CO2e,0.06206,
318310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,50% Laden,km,kg CO2e,0.22823,
318311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,50% Laden,miles,kg CO2e,0.3673,
318312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),50% Laden,tonne.km,kg CO2e,0.03167,
318313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),50% Laden,km,kg CO2e,0.21499,
318314,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),50% Laden,miles,kg CO2e,0.34599,
318315,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),50% Laden,tonne.km,kg CO2e,0.02602,
318316,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),50% Laden,km,kg CO2e,0.23469,
318317,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),50% Laden,miles,kg CO2e,0.37769,
318318,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,50% Laden,tonne.km,kg CO2e,0.02617,
318319,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,50% Laden,km,kg CO2e,0.23379,
318320,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,50% Laden,miles,kg CO2e,0.37625,
318321,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,50% Laden,tonne.km,kg CO2e,0.03387,
318322,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,50% Laden,km,kg CO2e,0.23157,
318323,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,50% Laden,miles,kg CO2e,0.37268,
31830,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,tonne.km,kg CO2e,0.06889,
31831,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,km,kg CO2e,0.15442,
31832,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,miles,kg CO2e,0.24852,
31833,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,tonne.km,kg CO2e,0.04277,
31834,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,km,kg CO2e,0.20258,
31835,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,miles,kg CO2e,0.32602,
31836,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),100% Laden,tonne.km,kg CO2e,0.03434,
31837,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),100% Laden,km,kg CO2e,0.31196,
31838,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),100% Laden,miles,kg CO2e,0.50205,
31839,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,100% Laden,tonne.km,kg CO2e,0.03624,
318310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,100% Laden,km,kg CO2e,0.26506,
318311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,100% Laden,miles,kg CO2e,0.42657,
318312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),100% Laden,tonne.km,kg CO2e,0.019,
318313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),100% Laden,km,kg CO2e,0.25799,
318314,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),100% Laden,miles,kg CO2e,0.41519,
318315,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),100% Laden,tonne.km,kg CO2e,0.01626,
318316,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),100% Laden,km,kg CO2e,0.29336,
318317,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),100% Laden,miles,kg CO2e,0.47212,
318318,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,100% Laden,tonne.km,kg CO2e,0.01634,
318319,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,100% Laden,km,kg CO2e,0.29175,
318320,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,100% Laden,miles,kg CO2e,0.46952,
318321,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,100% Laden,tonne.km,kg CO2e,0.02062,
318322,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,100% Laden,km,kg CO2e,0.28095,
318323,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,100% Laden,miles,kg CO2e,0.45215,
31830,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,tonne.km,kg CO2e,0.14669,
31831,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,km,kg CO2e,0.14138,
31832,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,miles,kg CO2e,0.22754,
31833,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,tonne.km,kg CO2e,0.11031,
31834,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,km,kg CO2e,0.17242,
31835,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,miles,kg CO2e,0.27748,
31836,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),Average laden,tonne.km,kg CO2e,0.04457,
31837,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),Average laden,km,kg CO2e,0.2834,
31838,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),Average laden,miles,kg CO2e,0.45609,
31839,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,Average laden,tonne.km,kg CO2e,0.05168,
318310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,Average laden,km,kg CO2e,0.23978,
318311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,Average laden,miles,kg CO2e,0.3859,
318312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),Average laden,tonne.km,kg CO2e,0.03167,
318313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),Average laden,km,kg CO2e,0.21499,
318314,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),Average laden,miles,kg CO2e,0.34599,
318315,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),Average laden,tonne.km,kg CO2e,0.02086,
318316,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),Average laden,km,kg CO2e,0.25581,
318317,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),Average laden,miles,kg CO2e,0.41169,
318318,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,Average laden,tonne.km,kg CO2e,0.02114,
318319,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,Average laden,km,kg CO2e,0.25395,
318320,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,Average laden,miles,kg CO2e,0.40869,
318321,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,Average laden,tonne.km,kg CO2e,0.02769,
318322,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,Average laden,km,kg CO2e,0.24824,
318323,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,Average laden,miles,kg CO2e,0.3995,
31840,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Domestic, to/from UK",With RF,tonne.km,kg CO2e,0.57429,
31841,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Short-haul, to/from UK",With RF,tonne.km,kg CO2e,0.20515,
31842,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Long-haul, to/from UK",With RF,tonne.km,kg CO2e,0.13516,
31843,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"International, to/from non-UK",With RF,tonne.km,kg CO2e,0.13516,
31840,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Domestic, to/from UK",Without RF,tonne.km,kg CO2e,0.57429,
31841,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Short-haul, to/from UK",Without RF,tonne.km,kg CO2e,0.20515,
31842,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Long-haul, to/from UK",Without RF,tonne.km,kg CO2e,0.13516,
31843,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"International, to/from non-UK",Without RF,tonne.km,kg CO2e,0.13516,
31850,Scope 3,WTT- delivery vehs & freight,WTT- rail,Freight train,,tonne.km,kg CO2e,0.00691,
31860,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,"200,000+ dwt",tonne.km,kg CO2e,0.00067,"200,000+ dwt"
31861,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,"120,000–199,999 dwt",tonne.km,kg CO2e,0.00101,"120,000–199,999 dwt"
31862,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,"80,000–119,999 dwt",tonne.km,kg CO2e,0.00135,"80,000–119,999 dwt"
31863,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,"60,000–79,999 dwt",tonne.km,kg CO2e,0.00172,"60,000–79,999 dwt"
31864,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,"10,000–59,999 dwt",tonne.km,kg CO2e,0.00209,"10,000–59,999 dwt"
31865,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,0–9999 dwt,tonne.km,kg CO2e,0.00764,0–9999 dwt
31866,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,Average,tonne.km,kg CO2e,0.00104,Average
31867,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Products tanker ,"60,000+ dwt",tonne.km,kg CO2e,0.00131,"60,000+ dwt"
31868,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Products tanker ,"20,000–59,999 dwt",tonne.km,kg CO2e,0.00236,"20,000–59,999 dwt"
31869,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Products tanker ,"10,000–19,999 dwt",tonne.km,kg CO2e,0.00429,"10,000–19,999 dwt"
318610,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Products tanker ,5000–9999 dwt,tonne.km,kg CO2e,0.0067,5000–9999 dwt
318611,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Products tanker ,0–4999 dwt,tonne.km,kg CO2e,0.01033,0–4999 dwt
318612,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Products tanker ,Average,tonne.km,kg CO2e,0.00205,Average
318613,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Chemical tanker ,"20,000+ dwt",tonne.km,kg CO2e,0.00193,"20,000+ dwt"
318614,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Chemical tanker ,"10,000–19,999 dwt",tonne.km,kg CO2e,0.00248,"10,000–19,999 dwt"
318615,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Chemical tanker ,5000–9999 dwt,tonne.km,kg CO2e,0.00347,5000–9999 dwt
318616,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Chemical tanker ,0–4999 dwt,tonne.km,kg CO2e,0.0051,0–4999 dwt
318617,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Chemical tanker ,Average,tonne.km,kg CO2e,0.00234,Average
318618,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,LNG tanker,"200,000+ m3",tonne.km,kg CO2e,0.00214,"200,000+ m3"
318619,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,LNG tanker,"0–199,999 m3",tonne.km,kg CO2e,0.00333,"0–199,999 m3"
318620,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,LNG tanker,Average,tonne.km,kg CO2e,0.00262,Average
318621,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,LPG tanker,"50,000+ m3",tonne.km,kg CO2e,0.00207,"50,000+ m3"
318622,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,LPG tanker,"0–49,999 m3",tonne.km,kg CO2e,0.00999,"0–49,999 m3"
318623,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,LPG tanker,Average,tonne.km,kg CO2e,0.00235,Average
31870,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,"200,000+ dwt",tonne.km,kg CO2e,0.00057,"200,000+ dwt"
31871,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,"100,000–199,999 dwt",tonne.km,kg CO2e,0.00069,"100,000–199,999 dwt"
31872,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,"60,000–99,999 dwt",tonne.km,kg CO2e,0.00094,"60,000–99,999 dwt"
31873,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,"35,000–59,999 dwt",tonne.km,kg CO2e,0.00131,"35,000–59,999 dwt"
31874,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,"10,000–34,999 dwt",tonne.km,kg CO2e,0.00181,"10,000–34,999 dwt"
31875,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,0–9999 dwt,tonne.km,kg CO2e,0.0067,0–9999 dwt
31876,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Bulk carrier,Average,tonne.km,kg CO2e,0.0008,Average
31877,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,"10,000+ dwt",tonne.km,kg CO2e,0.00273,"10,000+ dwt"
31878,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,5000–9999 dwt,tonne.km,kg CO2e,0.00363,5000–9999 dwt
31879,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,0–4999 dwt,tonne.km,kg CO2e,0.00319,0–4999 dwt
318710,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,"10,000+ dwt 100+ TEU",tonne.km,kg CO2e,0.00253,"10,000+ dwt 100+ TEU"
318711,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,5000–9999 dwt 100+ TEU,tonne.km,kg CO2e,0.00402,5000–9999 dwt 100+ TEU
318712,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,0–4999 dwt 100+ TEU,tonne.km,kg CO2e,0.00455,0–4999 dwt 100+ TEU
318713,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,General cargo,Average,tonne.km,kg CO2e,0.003,Average
318714,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,8000+ TEU,tonne.km,kg CO2e,0.00287,8000+ TEU
318715,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,5000–7999 TEU,tonne.km,kg CO2e,0.00381,5000–7999 TEU
318716,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,3000–4999 TEU,tonne.km,kg CO2e,0.00381,3000–4999 TEU
318717,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,2000–2999 TEU,tonne.km,kg CO2e,0.00459,2000–2999 TEU
318718,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,1000–1999 TEU,tonne.km,kg CO2e,0.00737,1000–1999 TEU
318719,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,0–999 TEU,tonne.km,kg CO2e,0.00833,0–999 TEU
318720,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Container ship,Average,tonne.km,kg CO2e,0.00365,Average
318721,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Vehicle transport,4000+ CEU,tonne.km,kg CO2e,0.00735,4000+ CEU
318722,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Vehicle transport,0–3999 CEU,tonne.km,kg CO2e,0.01322,0–3999 CEU
318723,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Vehicle transport,Average,tonne.km,kg CO2e,0.00873,Average
318724,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,RoRo-Ferry,2000+ LM,tonne.km,kg CO2e,0.01136,2000+ LM
318725,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,RoRo-Ferry,0–1999 LM,tonne.km,kg CO2e,0.01384,0–1999 LM
318726,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,RoRo-Ferry,Average,tonne.km,kg CO2e,0.0117,Average
318727,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Large RoPax ferry,Average,tonne.km,kg CO2e,0.08528,Average
318728,Scope 3,WTT- delivery vehs & freight,WTT- cargo ship,Refrigerated cargo, All dwt,tonne.km,kg CO2e,0.00296, All dwt
